,title,runtime,genres,rating,director,producer,cinematographer,writer,budget,domestic,foreign,worldwide,ROI,year,genre_list,Crime,Romance,Mystery,Horror,Action,Western,Sci-Fi,History,Adventure,Thriller,Drama,Fantasy,Biography,Sport,Music,War,Animation,Family,Documentary,Musical,Comedy
1,Lincoln,150.0,"Biography,Drama,History",7.4,Steven Spielberg,Kathleen Kennedy,Janusz Kaminski,Tony Kushner,65000000,182207973,91138308,273346281,320.53274,2012,"['Biography', 'Drama', 'History']",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2,Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,Dominic Sena,Charles Roven,Amir Mokri,Bragi F. Schut,40000000,24827228,66299372,91126600,127.8165,2011,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,Dallas Buyers Club,117.0,"Biography,Drama",8.0,Jean-Marc Vallée,Rachel Winter,Yves Bélanger,Craig Borten,5000000,27298285,33313560,60611845,1112.2369,2013,"['Biography', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,Christopher Nolan,Emma Thomas,Hoyte Van Hoytema,Jonathan Nolan,165000000,188017894,478361481,666379375,303.8662878787879,2014,"['Adventure', 'Drama', 'Sci-Fi']",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5,Flipped,90.0,"Comedy,Drama,Romance",7.7,Rob Reiner,Alan Greisman,Thomas Del Ruth,Andrew Scheinman,14000000,1755212,2534781,4289993,-69.35719285714286,2010,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,Joss Whedon,Kevin Feige,Seamus McGarvey,Zak Penn,225000000,623279547,894656350,1517935897,574.6381764444444,2012,"['Action', 'Adventure', 'Sci-Fi']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Eat Pray Love,133.0,"Drama,Romance",5.8,Ryan Murphy,Dede Gardner,Robert Richardson,Jennifer Salt,60000000,80574010,126024779,206598789,244.331315,2010,"['Drama', 'Romance']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,The Wedding Ringer,101.0,Comedy,6.7,Jeremy Garelick,Will Packer,Bradford Lipson,Jay Lavender,23000000,64460211,15711385,80171596,248.57215652173915,2015,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Salt,100.0,"Action,Mystery,Thriller",6.4,Phillip Noyce,Lorenzo di Bonaventura,Robert Elswit,Kurt Wimmer,130000000,118311368,172339126,290650494,123.57730307692307,2010,"['Action', 'Mystery', 'Thriller']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Nine Dead,98.0,"Crime,Drama,Horror",5.5,Chris Shadley,Paula Hart,Mark Vargo,Patrick Wehe Mahoney,2000000,0,0,0,-100.0,2009,"['Crime', 'Drama', 'Horror']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,Zack Snyder,Deborah Snyder,Larry Fong,Steve Shibuya,75000000,36392502,53365887,89758389,19.677852,2011,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,The Green Hornet,119.0,"Action,Comedy,Crime",5.8,Michel Gondry,Neal H. Moritz,John Schwartzman,Evan Goldberg,110000000,98780042,130375461,229155503,108.32318454545455,2011,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,The Iron Lady,105.0,"Biography,Drama",6.4,Phyllida Lloyd,Damian Jones,Elliot Davis,Abi Morgan,14000000,29959436,85632668,115592104,725.6578857142857,2012,"['Biography', 'Drama']",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14,The Eagle,114.0,"Action,Adventure,Drama",6.2,Kevin Macdonald,Duncan Kenworthy,Anthony Dod Mantle,Jeremy Brock,25000000,19490041,19503507,38993548,55.974192,2011,"['Action', 'Adventure', 'Drama']",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,Legion,100.0,"Action,Fantasy,Horror",5.2,Scott Stewart,David Lancaster,John Lindley,Peter Schink,26000000,40168080,27479494,67647574,160.18297692307692,2010,"['Action', 'Fantasy', 'Horror']",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,Andy Tennant,Neal H. Moritz,Oliver Bokelberg,Sarah Thorp,45000000,67061228,68747609,135808837,201.79741555555557,2010,"['Action', 'Comedy', 'Romance']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,The Nutcracker in 3D,110.0,"Action,Family,Fantasy",4.3,Andrey Konchalovskiy,Paul Lowin,Mike Southon,Chris Solimine,90000000,195459,20270557,20466016,-77.25998222222222,2010,"['Action', 'Family', 'Fantasy']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
