,tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,director,producer,cinematographer,writer,s1,s2,score,movie,production_budget,domestic_gross,worldwide_gross,year,ROI
0,tt0477302,Extremely Loud & Incredibly Close,Extremely Loud & Incredibly Close,2011,129.0,"Adventure,Drama,Mystery",6.9,93164,Stephen Daldry,Scott Rudin,Chris Menges,Eric Roth,Extremely Loud and Incredibly Close,Extremely Loud & Incredibly Close,0.08571428571428572,Extremely Loud and Incredibly Close,40000000,31847881,55247881,2011,38.1197025
1,tt0901504,Psych:9,Psych:9,2010,98.0,"Horror,Mystery,Thriller",4.5,2072,Andrew Shortell,Philip Waley,Shane Daly,Lawrence Robinson,Psych 9,Psych:9,0.14285714285714285,Psych 9,5000000,0,0,2010,-100.0
2,tt1217613,Battle Los Angeles,Battle Los Angeles,2011,116.0,"Action,Sci-Fi",5.8,167052,Jonathan Liebesman,Neal H. Moritz,Lukas Ettlin,Christopher Bertolini,Battle: Los Angeles,Battle Los Angeles,0.05263157894736842,Battle: Los Angeles,70000000,83552429,213463976,2011,204.94853714285713
3,tt1245492,This Is the End,This Is the End,2013,107.0,"Comedy,Fantasy",6.6,360556,Evan Goldberg,James Weaver,Brandon Trost,Jason Stone,This is the End,This Is the End,0.06666666666666667,This is the End,32000000,101470202,126539117,2013,295.434740625
4,tt1371150,This Is Where I Leave You,This Is Where I Leave You,2014,103.0,"Comedy,Drama",6.6,65202,Shawn Levy,Paula Weinstein,Terry Stacey,Jonathan Tropper,This is Where I Leave You,This Is Where I Leave You,0.04,This is Where I Leave You,20000000,34296320,41296320,2014,106.4816
5,tt1405810,Loose Cannons,Mine vaganti,2010,110.0,"Comedy,Drama,Romance",7.3,10462,Ferzan Ozpetek,Domenico Procacci,Maurizio Calvesi,Ivan Cotroneo,Mine Vaganti,Mine vaganti,0.08333333333333333,Mine Vaganti,9100000,0,18872126,2010,107.38600000000001
6,tt1457765,The Haunting in Connecticut 2: Ghosts of Georgia,The Haunting in Connecticut 2: Ghosts of Georgia,2013,101.0,"Drama,Horror,Mystery",5.3,15190,Tom Elkins,Paul Brooks,Yaron Levy,David Coggeshall,A Haunting in Connecticut 2: The Ghosts of Georgia,The Haunting in Connecticut 2: Ghosts of Georgia,0.14,A Haunting in Connecticut 2: The Ghosts of Georgia,9000000,0,0,2013,-100.0
7,tt1598822,New Year's Eve,New Year's Eve,2011,113.0,"Comedy,Romance",5.7,76656,Garry Marshall,Mike Karz,Charles Minsky,Katherine Fugate,New Yearâs Eve,New Year's Eve,0.1875,New Yearâs Eve,26000000,54544638,146850273,2011,464.80874230769234
8,tt1730760,Fugly!,Fugly!,2014,100.0,Comedy,4.3,288,Alfredo Rodriguez de Villa,Daniel Bigel,Nancy Schreiber,Kathy DeMarco,Fugly,Fugly!,0.16666666666666666,Fugly,4500000,0,0,2014,-100.0
9,tt1736052,The Woods,The Woods,2012,117.0,"Drama,Thriller",7.5,14,Michael Mandell,Romeo Antonio,Jonathan Greene,Stuart Bartieke,The Words,The Woods,0.1111111111111111,The Words,6000000,11494838,16369708,2012,172.82846666666666
